Term	ID	es	nes	pval	sidak	fdr	geneset_size	leading_edge	propagated_edge
Stimuli-sensing channels	R-HSA-2672351	-0.17301124092088896	-3.1245222359671145	0.0017809406073547862	0.8755405926474523	0.007373411168914143	37	SCNN1B,RAF1,BEST3,CLCA2,TTYH1,SCNN1A,ANO5,CLCNKB,BEST2,ASIC2,TTYH3,WWP1,UBA52,SLC17A3,SLC9C2,ANO8,SLC9B2,NALCN,CLCN1	UBB,ANO3,NALCN,ASPH,SCNN1A,WWP1,CLCN3,SLC9C2,ASIC2,UBA52,CLCA2,RPS27A,CLCN4,FKBP1B,SCNN1G,CLCN7,SGK3,NEDD4L,CASQ2,ANO6,TTYH1,CLCN6,ANO4,TPCN1,WNK1,ASIC1,CLCN1,RYR1,CLCA4,UNC80,STOM,RYR3,TTYH2,BEST4,ASIC3,ANO7,STOML3,ANO9,CLCN2,CLCNKB,WNK2,CLCNKA,ANO10,BEST3,SCNN1B,SLC9B1,TPCN2,WNK4,SLC17A3,SRI,ANO8,BEST1,SGK2,OSTM1,UNC79,SLC9C1,ANO1,TRDN,CASQ1,ASIC4,WNK3,ANO5,BSND,TSC22D3,RYR2,CLIC2,CLCA1,ASIC5,SCNN1D,TTYH3,BEST2,SLC9B2,UBC,CALM1,SGK1,RAF1,ANO2
Eukaryotic Translation Termination	R-HSA-72764	-0.19053247503506948	-3.1243026204842947	0.0017822705161514296	0.8757342796064385	0.007373411168914143	35	APEH,RPL10A,RPS3A,RPS2,HEMK2,RPL13A,RPS9,RPL24,RPS20,RPL37A,RPS13,RPS11,RPL34,RPL15,GSPT1,RPL22,UBA52,RPS23,RPS27,RPS24	RPS8,RPL36AL,RPS7,RPL17,RPL3L,RPL22,RPL10A,RPL10,RPS27,RPS11,RPS10,ETF1,UBA52,RPL39L,RPL3,RPS4Y2,RPS20,FAU,RPS6,RPL8,GSPT2,RPL13,RPS27A,RPLP0,RPL27A,RPS23,GSPT1,RPL36,RPS19,RPL38,RPL26,RPS21,RPS18,RPS14,RPL11,RPS3A,RPL13A,RPL31,RPS4Y1,RPL5,RPS29,RPL19,RPL14,RPL35,RPL12,RPL18A,RPL29,RPS9,RPL4,RPL15,RPS24,RPS13,RPLP1,RPS5,RPL27,RPL21,RPL32,RPL26L1,RPL39,RPL34,RPSA,RPL37,RPL7,RPL28,RPL23A,RPS15,RPL24,RPL6,RPL18,RPL10L,RPS17,RPS4X,HEMK2,RPL36A,APEH,RPS3,RPL35A,RPL22L1,RPS27L,RPL9,RPL23,RPS28,RPS12,RPS15A,RPL37A,TRMT112,RPS25,RPS16,RPS2,RPS26,RPLP2,RPL41,RPL30
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	R-HSA-975956	-0.19226343791028008	-3.1237425760344215	0.0017856660680839465	0.8762274403412238	0.007373411168914143	34	RPL24,RPS13,RPL15,GSPT1,RPL22,RPS24,RPS2,EIF4G1,RPL13A,RPS9,UBA52,RPS11,RPL34	RPS8,NCBP1,RPS7,RPL17,RPL36AL,RPL3L,RPL22,RPL10A,RPL10,RPS27,RPS11,RPS10,ETF1,UBA52,RPL39L,RPL3,RPS4Y2,RPS20,FAU,RPS6,RPL8,GSPT2,RPL13,RPS27A,RPLP0,RPL27A,RPS23,GSPT1,RPL36,RPS19,RPL38,RPL26,RPS21,RPS18,RPS14,RPL11,RPS3A,RPL13A,RPL31,RPS4Y1,RPL5,RPS29,RPL19,RPL14,RPL12,RPL35,UPF1,RPL18A,RPL29,RPS9,RPL4,RPL15,RPS24,RPS13,RPLP1,RPS5,RPL21,RPL27,EIF4G1,RPL32,RPL39,RPL26L1,RPL34,RPSA,RPL37,RPL7,RPL28,RPL23A,RPS15,RPL24,RPL6,RPL18,RPL10L,RPS17,RPS4X,RPL36A,PABPC1,RPL35A,RPS3,RPL22L1,RPS27L,RPL9,RPL23,RPS28,RPS12,RPS15A,RPL37A,RPS25,RPS16,NCBP2,RPS2,RPS26,RPLP2,RPL41,RPL30
Dectin-1 mediated noncanonical NF-kB signaling	R-HSA-5607761	-0.23503921433420535	-3.1232910213158367	0.0017884081753070102	0.8766242689558934	0.007373411168914143	24	CCL17,PSMD11,PSMD6,PSMA3,UBE2M,PSMA5,PSMD2,PSMD14,RELB,UBA52,CCL22,PSMA1	PSMB5,PSMA6,ADRM1,UBB,PSMD8,MAP3K14,PSMD3,PSMD13,RELA,RELB,PSMB3,PSMD1,PSMC6,PSMA4,UBA3,PSMB2,UBA52,PSMA7,PSMC4,CCL22,PSMD6,PSMA1,PSMC3,RPS27A,UBE2M,PSMC5,PSMB4,FBXW11,PSMD11,PSMA2,PSMC1,PSMD7,SKP1,BTRC,NFKB2,CCL17,CUL1,SEM1,PSMA3,PSMC2,CHUK,PSMD14,PSMA5,PSMD2,PSMD12,UBC,PSMB1,PSMB6
ISG15 antiviral mechanism	R-HSA-1169408	-0.18330351243362816	-3.12288395382659	0.0017908834465254486	0.8769813901802532	0.007373411168914143	34	SEH1L,USP18,EIF4G1,NUP42,POM121,EIF4E,KPNA4,RANBP2,UBA52,RAE1	NUP35,KPNA1,UBB,NDC1,STAT1,JAK1,EIF4E3,IRF3,POM121C,UBA52,NUP133,NUP98,BECN1,EIF4G2,NEDD4,RPS27A,NUP58,TRIM25,NUP62,KPNA7,NUP37,NUP155,NUP107,EIF4G3,RIGI,KPNA5,SEH1L,PLCG1,NUP50,POM121,USP18,NUP153,NUP42,TPR,PPM1B,NUP43,NUP214,AAAS,ISG15,ARIH1,NUP205,UBE2N,UBA7,NUP54,KPNA3,UBE2E1,MX1,HERC5,EIF4A1,EIF2AK2,EIF4A2,RANBP2,EIF4G1,FLNB,NUP210,NUP188,EIF4A3,KPNA4,EIF4E,KPNB1,IFIT1,SEC13,NUP85,RAE1,MAPK3,NUP88,EIF4E2,UBE2L6,KPNA2,NUP160,UBC,PIN1,MX2
ABC-family proteins mediated transport	R-HSA-382556	-0.1508288985451386	-3.1228128201764873	0.0017913163147746936	0.8770437363167398	0.007373411168914143	36	PSMA3,ABCC6,PSMD2,PSMA6,PSMD14,EIF2S2,OS9,ABCC9,PSMA5,ABCC5,EIF2S3,PSMD11,UBA52,ABCC10,SEL1L,RNF185,DERL3,ABCB9,PSMD6,PSMA1	PSMB7,PSMB5,PSMA6,ADRM1,UBB,PSMD3,ABCC3,ERLEC1,ERLIN1,PSMB3,PSMC6,ABCC6,ABCB4,PSMB2,UBA52,PSMA7,PSMD6,PSMC3,RPS27A,PSMB4,PSMA2,ABCB5,EIF2S2,ABCC4,SEM1,ABCB1,PSMA3,PSMC2,PSMD14,CFTR,PSMA5,PSMB6,PSMD8,ABCC11,PSMD13,ERLIN2,EIF2S1,ABCC2,PSMD1,PSMA4,ABCA8,ABCC1,ABCC9,PSMC4,PSMA1,ABCC10,ABCC5,EIF2S3,RNF185,PSMC5,PSMD11,DERL3,PSMC1,PSMD7,ABCF1,DERL2,ABCB9,SEL1L,VCP,ABCA4,PSMD2,PSMD12,OS9,UBC,PSMB1,RNF5,DERL1
E3 ubiquitin ligases ubiquitinate target proteins	R-HSA-8866654	-0.24049366288181057	-3.121059610106291	0.0018020155323421605	0.8785747539052631	0.007391425113361353	20	UBE2D2,UBE2V2,RRAGA,BCL10,PEX2,RTF1,UBA52,H2BC1,PEX10,RAD18	UBB,PCNA,H2BC5,WAC,CTR9,PEX12,RNF144A,UBE2A,UBA52,H2BC9,PEX5,RPS27A,RAD18,HLA-A,UBE2L3,H2BC8,UBE2D1,PEX10,PAF1,PEX13,H2BC3,TMEM129,H2BC6,H2BC1,H2BC11,RRAGA,RNF181,SHPRH,RNF20,H2BC13,UBE2N,H2BC17,UBE2D2,RNF40,UBE2E1,H2BC14,H2BC10,UBE2D3,H2BC7,SKIC8,CDC73,H2BC15,UBE2B,UBE2J2,RNF152,H2BC12,H2BC4,RTF1,LEO1,BCL10,HLTF,VCP,PRKDC,UBC,UBE2V2,PEX14,PEX2,DERL1
EPH-ephrin mediated repulsion of cells	R-HSA-3928665	-0.15551751169954944	-3.116328978036535	0.001831178621413132	0.882651854346921	0.00740720582909513	28	MMP2,APH1B,AP2A2,DNM1,LYN,EFNA3,YES1,RAC1,EFNA4,EPHA4,ACTG1,CLTC,PSEN1,EFNB2,EPHA1,SRC,EPHB2	APH1B,EFNA1,CLTA,PSEN2,EFNA5,EPHA3,EFNB2,AP2A1,EPHA4,EFNA2,CLTB,CLTCL1,EPHA8,EPHA5,EPHA10,PSEN1,APH1A,EPHB1,SRC,AP2B1,RAC1,PSENEN,MMP9,VAV2,EPHB6,ACTB,EPHA1,EFNB1,ACTG1,MMP2,EPHA2,CLTC,AP2M1,EPHA7,TIAM1,NCSTN,EPHB4,FYN,AP2S1,EFNA3,ADAM10,AP2A2,EPHA6,DNM1,LYN,EPHB3,EFNA4,EFNB3,YES1,EPHB2
Hh mutants are degraded by ERAD	R-HSA-5362768	-0.21254952783533113	-3.1158221931144396	0.0018343283992106052	0.8830839367375988	0.00740720582909513	21	PSMD11,PSMD6,PSMA1,PSMA3,SYVN1,PSMA5,PSMD2,PSMD14,UBA52,OS9,SEL1L	PSMB5,PSMA6,ADRM1,UBB,PSMD8,PSMD3,PSMD13,ERLEC1,PSMB3,PSMD1,PSMC6,SYVN1,PSMA4,PSMB2,UBA52,PSMA7,PSMC4,PSMD6,PSMA1,PSMC3,RPS27A,PSMC5,PSMB4,PSMD11,PSMA2,PSMC1,PSMD7,DERL2,SEL1L,VCP,SEM1,SHH,PSMA3,PSMC2,PSMD14,PSMA5,PSMD2,PSMD12,OS9,UBC,PSMB1,PSMB6
Hedgehog ligand biogenesis	R-HSA-5358346	-0.1957038182665524	-3.115106052996897	0.0018387878531573865	0.8836929617349135	0.00740720582909513	23	PSMD11,PSMD6,PSMA1,PSMA3,SYVN1,PSMA5,PSMD2,PSMD14,UBA52,OS9,SEL1L	PSMB5,PSMA6,ADRM1,UBB,PSMD8,PSMD3,PSMD13,ERLEC1,P4HB,PSMA4,PSMD1,PSMB3,PSMC6,SYVN1,PSMB2,UBA52,PSMA7,PSMC4,PSMD6,PSMA1,PSMC3,RPS27A,IHH,DHH,PSMC5,PSMB4,PSMD11,PSMA2,PSMC1,HHAT,PSMD7,DERL2,SEL1L,VCP,SEM1,SHH,PSMA3,PSMC2,PSMD14,PSMA5,PSMD2,PSMD12,OS9,UBC,PSMB1,PSMB6
Asymmetric localization of PCP proteins	R-HSA-4608870	-0.1529954609467653	-3.114533491921388	0.001842360394026299	0.8841785739178467	0.00740720582909513	26	PSMD11,PSMD6,PSMA1,PSMA3,FZD2,PSMA5,SCRIB,PSMD2,PSMD14,UBA52,SMURF1	PSMB5,PSMA6,ADRM1,UBB,PSMD8,PSMD3,PSMD13,SMURF2,VANGL2,PSMB3,FZD7,PSMD1,PSMC6,PSMA4,FZD1,PSMB2,UBA52,PSMA7,PSMC4,PSMD6,PSMA1,WNT5A,PSMC3,RPS27A,SCRIB,PSMC5,PSMB4,FZD2,PSMD11,DVL2,PSMA2,PSMC1,PSMD7,FZD5,SMURF1,FZD3,PRICKLE1,SEM1,FZD8,PSMA3,PSMC2,FZD4,PSMD14,PSMA5,PSMD2,PSMD12,UBC,PSMB1,PSMB6,PARD6A
Kinesins	R-HSA-983189	-0.16465634431489778	-3.11420436048068	0.001844416921708003	0.884457196551149	0.00740720582909513	25	KIF16B,KIF9,KIF23,KIF4B,KIF6	KIF1B,KLC3,KIF18A,KIF3A,KIF27,KIF15,KIF11,KIF20A,KLC2,TUBB2A,KIF22,KIF2C,TUBA4A,TUBA3D,TUBA3E,KIF25,KIF3C,RACGAP1,TUBA8,TUBA4B,TUBB4A,KIF12,KIF13B,KIF20B,KIF19,KIF2A,KIF1C,KIF6,TUBB4B,TUBA3C,CENPE,TUBB3,KIFAP3,KIFC2,KIF18B,KIFC1,KIF2B,KIF5B,TUBA1A,KIF21B,KIF26B,KIF4B,TUBB2B,TUBB6,KIF23,KIF1A,KLC4,TUBB8,KIF5A,TUBA1C,KIF3B,KLC1,TUBB8B,KIF16B,KIF26A,KIF9,TUBAL3,KIF4A,TUBB1,TUBA1B
NIK-->noncanonical NF-kB signaling	R-HSA-5676590	-0.18927687612786012	-3.113549552499292	0.0018485146632851723	0.8850103720423599	0.00740720582909513	22	PSMD11,PSMD6,PSMA3,UBE2M,PSMA5,PSMD2,PSMD14,RELB,UBA52,PSMA1	PSMB5,PSMA6,ADRM1,UBB,PSMD8,MAP3K14,PSMD3,PSMD13,RELB,PSMB3,PSMD1,PSMC6,PSMA4,UBA3,PSMB2,UBA52,PSMA7,PSMC4,PSMD6,PSMA1,PSMC3,RPS27A,UBE2M,PSMC5,PSMB4,FBXW11,PSMD11,PSMA2,PSMC1,PSMD7,SKP1,BTRC,NFKB2,CUL1,SEM1,PSMA3,PSMC2,CHUK,PSMD14,PSMA5,PSMD2,PSMD12,UBC,PSMB1,PSMB6
Lysosome Vesicle Biogenesis	R-HSA-432720	-0.177707313198625	-3.1132778571988524	0.0018502173670622568	0.8852394499673407	0.00740720582909513	19	AP1B1,DNM2,CHMP2A,DNASE2,AP1S1,AP1G1,CLTC,BLOC1S1,VAMP2,CLVS2,AP4E1,M6PR,ARF1,CLVS1	CTSZ,AP1B1,CLTA,AP1S2,VAMP8,TXNDC5,CLVS2,CLVS1,APP,BLOC1S1,CLTB,DNASE2,VAMP7,AP1S3,M6PR,AP4S1,AP1S1,HSPA8,SH3GL2,AP4E1,CHMP2A,CLTC,AP1M2,ARF1,AP4M1,ARRB1,AP1G1,DNM2,VAMP7,AP1G2,GNS,HGS,VAMP2,AP4B1,AP1M1
Degradation of DVL	R-HSA-4641258	-0.19191277126592926	-3.1121663447550674	0.0018571981884314415	0.8861738768637432	0.007409777072615546	20	PSMD11,PSMD6,PSMA3,DACT1,PSMA5,HECW1,CUL3,PSMD2,PSMD14,PSMA6,UBA52,PSMA1	PSMB5,PSMA6,ADRM1,UBB,CUL3,PSMD8,PSMD3,PSMD13,PSMB3,PSMD1,PSMC6,PSMA4,HECW1,PSMB2,UBA52,PSMA7,PSMC4,PSMD6,DVL1,PSMA1,PSMC3,RPS27A,DACT1,PSMC5,PSMB4,PSMD11,DVL2,PSMA2,PSMC1,PSMD7,DVL3,SEM1,PSMA3,PSMC2,KLHL12,PSMD14,PSMA5,PSMD2,PSMD12,UBC,PSMB1,PSMB6,RBX1
RUNX3 regulates CDKN1A transcription	R-HSA-8941855	0.9747848417368246	2.9636218927704054	0.0030404161920847272	0.9715515243526411	0.012089273906622606	6	CDKN1A,RUNX3,TP53,SMAD3	RUNX3,TGFB1,SMAD3,CDKN1A,TP53,SMAD4
Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	R-HSA-75035	0.8882205400826277	2.9410631558433034	0.0032708783744406222	0.9782887310644867	0.012961548541427415	5		SFN,YWHAE,CHEK2,CDC25C,YWHAZ,YWHAG,WEE1,CCNA2,YWHAH,YWHAB,CHEK1,CCNA1,CDK1,CCNB1
CD163 mediating an anti-inflammatory response	R-HSA-9662834	0.8768272518133265	2.897503533879634	0.003761455005711456	0.9877891639653525	0.014855205748907745	5	FURIN,IL10	RHBDF2,CD163,PLK2,FURIN,IL10,ADAM17,MAPK14,MYH9
alpha-linolenic acid (ALA) metabolism	R-HSA-2046106	0.8516316303699796	2.7999225239851855	0.005111487309188201	0.997497968589398	0.0201189517321246	5	FADS2	ELOVL3,ABCD1,ACOX1,ACSL1,ACOT8,ELOVL5,FADS2,SCP2,FADS1,ELOVL1,ELOVL2,ACAA1
SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	R-HSA-2173796	0.889257978974086	2.7938538449032158	0.005208401272124963	0.9977672747405861	0.020431614386288866	17	CDKN2B,SMAD3,FURIN,SMAD7,MYC	SERPINE1,SP1,UBB,WWTR1,SMAD3,RBL1,CCNC,MAPK1,COL1A2,TFDP1,UBA52,E2F5,CDK8,TGIF1,RPS27A,SMAD7,SMAD4,YBX1,SMAD2,JUNB,FURIN,MAPK3,CDK9,CDKN2B,MEN1,TGIF2,MYC,RNF111,CCNK,TFDP2,HDAC1,UBC,CCNT1,CCNT2,EP300
GLI proteins bind promoters of Hh responsive genes to promote transcription	R-HSA-5635851	0.8455982952796968	2.7762928476281896	0.005498265997495588	0.9984118857403479	0.021496565053753653	5	PTCH1,HHIP	PTCH1,HHIP,GLI3,PTCH2,BOC,GLI2
Phosphorylation of CD3 and TCR zeta chains	R-HSA-202427	0.9213372385860487	2.773446684843545	0.005546592821730201	0.9984995882991343	0.02161322336200868	6	PTPN22,PTPRC,PTPRJ	CD4,HLA-DRB4,PTPRJ,CSK,HLA-DRB5,HLA-DPB1,PAG1,HLA-DPA1,HLA-DQB2,PTPN22,CD3G,PTPRC,TRAV8-4,LCK,HLA-DRA,TRBV7-9,CD3D,CD247,HLA-DQA1,TRAV29DV5,HLA-DRB1,HLA-DRB3,HLA-DQA2,CD3E,TRAV19
Formation of Senescence-Associated Heterochromatin Foci (SAHF)	R-HSA-2559584	0.9166799196888761	2.75655673365297	0.005841347828515531	0.998939014987733	0.02268616482237427	6	CDKN1A,TP53	HIRA,CDKN1A,H1-4,H1-1,H1-0,ASF1A,H1-3,RB1,UBN1,HMGA2,CABIN1,H1-5,EP400,H1-2,TP53,LMNB1
RUNX1 regulates transcription of genes involved in BCR signaling	R-HSA-8939245	0.8277622153150919	2.705823627747507	0.006813522252083759	0.9996619329400768	0.026374197061873886	5	RUNX1	RUNX1,CBFB,BLK,PAX5,ELF1
Regulation of MITF-M-dependent genes involved in cell cycle and proliferation	R-HSA-9825892	0.8821531112968309	2.701820735863977	0.006896093209609155	0.9996932440138158	0.026605719346643904	13	CDKN2A,LEF1,TCF7,TCF7L2,CDKN1A,TBX2,CTNNB1,CCND1,MITF	TBX2,CDK2,CDKN1A,CCND1,TCF7L1,MET,LEF1,TCF7L2,HINT1,TCF7,CDKN2A,HDAC1,SIN3A,CDC25B,CTNNB1,MITF,CCNB1
MAPK1 (ERK2) activation	R-HSA-112411	0.9000838033519083	2.695935949550009	0.007019116202146236	0.9997346018611822	0.02699127250101628	6	PTPN11,TYK2,IL6R	IL6,IL6R,MAP2K2,PTPN11,JAK1,MAPK1,IL6ST,TYK2
Formation of intermediate mesoderm	R-HSA-9761174	0.8234839682831129	2.6887815093959273	0.00717133404231185	0.9997781465811407	0.027486195067090338	5	PAX8,OSR1,BMP4	PAX8,BMP4,OSR1,FOXC1,PAX2,FOXC2,LHX1
Regulation of CDH11 function	R-HSA-9762292	0.8224973241831145	2.6848435222940297	0.007256377033049821	0.9997992863523535	0.0277212573582851	5	ANGPTL4,CTNND1,CTNNB1	ANGPTL4,CTNNA1,CDH11,ADAM33,ADAM19,AMOT,CTNND1,CTNNB1
Interleukin-27 signaling	R-HSA-9020956	0.8202017394776739	2.675669861346492	0.007458006981717391	0.9998417103060742	0.028398730168168178	5	TYK2	EBI3,CANX,STAT1,IL27RA,JAK1,STAT3,IL27,IL6ST,CRLF1,TYK2
Interleukin-21 signaling	R-HSA-9020958	0.8932801449582342	2.6708846759196843	0.007565163321642032	0.9998604792922829	0.028713233516232256	6	IL21R,STAT4,IL21	IL21,IL2RG,STAT4,STAT1,STAT5B,JAK1,STAT3,JAK3,IL21R
Organic cation transport	R-HSA-549127	0.8896001932600375	2.6572858135638753	0.007877262791647688	0.9999034047287119	0.02980103625707491	6	SLC22A5,RUNX1,SLC22A1,SLC22A4,SLC22A3	SLC22A15,RUNX1,SLC22A16,SLC22A4,SLC22A1,SLC22A3,SLC22A5,RSC1A1,SLC22A2
Chylomicron assembly	R-HSA-8963888	0.886375503526057	2.6453406968705395	0.008160870318225655	0.9999308476199027	0.030774378716147716	6	APOE	APOC2,MTTP,APOA4,APOB,APOE,APOC3,P4HB,APOA2,APOA1
Interleukin-18 signaling	R-HSA-9012546	0.8117904134854168	2.6419201133709254	0.00824374976777631	0.9999372834644068	0.030986956522606128	5	IL13,IL18R1	IL13,IL18BP,IL37,ALOX5,IL18R1,IL18,IL18RAP
Interleukin-35 Signalling	R-HSA-8984722	0.8824088809274299	2.630610332793003	0.008523169861785362	0.9999548846968801	0.03193456912957401	6	STAT3,TYK2,IL12RB2,STAT4	IL12A,EBI3,CANX,IL12RB2,STAT1,IL27RA,STAT4,JAK1,STAT3,IL6ST,TYK2
Formation of the beta-catenin:TCF transactivating complex	R-HSA-201722	0.8353835609576987	2.6263781979107783	0.008629887222473709	0.9999602189881398	0.03223111234208232	22	LEF1,TCF7,TERT,TCF7L2,EP300,CTNNB1,MYC,TCF4	H4C3,H3C2,H2BC5,H2AC20,H4C13,ASH2L,H4C15,LEF1,H3-4,H4C14,H2BC9,TCF7,H3C6,H3C4,CTNNB1,H4C4,TLE4,H2BC8,H2AC18,H2BC21,H4C16,TCF7L1,H2AJ,H2BC3,H4C1,H2AB1,H4C12,MEN1,H2BC6,H3C10,H2BC1,H2BC11,H2AC14,HDAC1,H3-3A,TLE3,SMARCA4,H3C15,EP300,H2BC13,H2BC17,TLE1,H2BC14,H2AZ2,H2AC6,BCL9,H2BC10,BCL9L,H2BC7,CDC73,H4C2,H3C12,CREBBP,H2BC15,PYGO2,H2AX,H2AC4,H4C11,H3-3B,H4C9,H2BC12,H4C8,H2BC4,H4C5,H3C3,H3C7,H3C1,TERT,LEO1,TCF4,H2AC19,H2AC7,TRRAP,TCF7L2,H4C6,H3C13,H2BC26,MYC,TLE2,RUVBL1,H2BC12L,H3C11,RBBP5,H3C14,PYGO1,H3C8,KAT5,H2AC8
Regulation of gene expression in early pancreatic precursor cells	R-HSA-210747	0.8067024970100343	2.621400220790024	0.008756939205620151	0.9999657542167847	0.032601471119012605	5	NR5A2	ONECUT1,NR5A2,PDX1,ONECUT3,FGF10,NKX6-1,PTF1A
Co-inhibition by PD-1	R-HSA-389948	0.8052217582629322	2.6154132739742755	0.008911955043792164	0.9999714763167448	0.033073255384739805	5	PTPN11	TRBV12-3,CD4,HLA-DRB4,CSK,CD274,HLA-DRB5,HLA-DPB1,PTPN11,HLA-DPA1,HLA-DQB2,PDCD1,CD3G,TRAV8-4,LCK,HLA-DRA,TRBV7-9,CD3D,CD247,PTPN6,TRAV29DV5,HLA-DQA1,HLA-DRB1,HLA-DRB3,HLA-DQA2,CD3E,TRAV19
Activation of PUMA and translocation to mitochondria	R-HSA-139915	0.80428276535207	2.611613192470392	0.009011615028484021	0.9999746398587464	0.03328754000328948	5	TP53	PPP1R13B,TP63,TP73,TP53,BBC3,TFDP1,E2F1,TP53BP2
Nuclear events mediated by NFE2L2	R-HSA-9759194	0.8041420000553843	2.611043282155599	0.0090266468614566	0.9999750855848352	0.03328754000328948	5	EP300	PRKAA2,MAFK,CREBBP,CDKN2A,KEAP1,MAFG,NFE2L2,EP300
Interleukin-4 and Interleukin-13 signaling	R-HSA-6785807	0.7681579767853399	2.605790212657134	0.0091662584511365	0.9999788689740227	0.03369608845716531	79	IRF4,JAK2,MYC,TGFB1,VEGFA,IL12B,FOXO1,IL13,IL10,IL6,TP53,CDKN1A,IL6R,CCND1,IL4R,BCL2,GATA3,RORA,IL23R,PIK3R1,TWIST1,LAMA5,FASLG,SOCS1,MUC1,STAT3,BCL6,STAT6,TYK2	IGHG1,IL4,FN1,NANOG,CCL11,ITGB1,IL6R,IGHE,ICAM1,TGFB1,STAT1,LAMA5,FOS,CDKN1A,JAK1,SOCS1,COL1A2,NDN,HIF1A,MCL1,CCL2,IL13,ALOX15,MAOA,STAT6,TP53,SOX2,AKT1,POMC,JAK2,IL6,OPRD1,IL12A,RORA,HSP90B1,CEBPD,ALOX5,IL17F,OSM,PIK3R1,ITGAX,CXCL8,IL2RG,BCL2L1,SOCS5,STAT3,VEGFA,IGHG4,NOS2,IL4R,FOXO3,IL18,IL17A,FSCN1,ANXA1,FOXO1,MUC1,MMP3,IL10,FGF2,TWIST1,RORC,IL23A,JAK3,FASLG,ZEB1,HMOX1,BIRC5,POU2F1,FCER2,CCL22,PIM1,BCL2,ITGAM,ITGB2,LBP,S1PR1,LIF,MMP1,HSPA8,JUNB,IRF4,MMP9,VIM,F13A1,IL12B,RHOU,IL13RA1,CCND1,IL13RA2,SAA1,MMP2,IL1A,OPRM1,VCAM1,CD36,TNFRSF1B,IL1B,LCN2,HSP90AA1,MYC,SOCS3,BCL6,TNF,IL23R,GATA3,BATF,PTGS2,TIMP1,TYK2
"""Phosphorylation of CLOCK, acetylation of BMAL1 (ARNTL) at target gene promoters"	R-HSA-9931512	0.8004559082197226	2.596097532657756	0.009428929619608839	0.9999845006505574	0.03455303675649759	5	RORA	"PER2,CREBBP,RORA,CLOCK,NR1D1,PER3,BMAL1,KMT2A,PER1,CRY1"""
Zygotic genome activation (ZGA)	R-HSA-9819196	0.8720192301000289	2.591832257236894	0.009546630687418567	0.9999865108244749	0.034875035229975954	6	TP53	DUXA,KDM4E,TPRX2,DUX4,DPPA4,ZSCAN4,TEAD4,DUXB,LEUTX,CREBBP,TUT4,TUT7,TP53,DPPA2,YAP1,EP300
Caspase activation via Dependence Receptors in the absence of ligand	R-HSA-418889	0.792024151172953	2.5617488876722496	0.010414658940753663	0.9999951599127478	0.037927527419754	5		DCC,DAPK2,DAPK3,MAGED1,CASP9,APPL1,UNC5B,DAPK1,UNC5A
Formation of definitive endoderm	R-HSA-9823730	0.8457177472257085	2.5459018960097604	0.010899581555571691	0.9999972709546109	0.03957021999522766	12	CTNNB1,FOXA2,SMAD3,TCF7L2	SMAD3,MIXL1,GATA4,SOX17,TBXT,GATA6-AS1,LINC00261,TCF7L2,CDH1,GSC,EOMES,CTNNB1,CXCR4,GATA6,SMAD4,FOXA2
Chylomicron remodeling	R-HSA-8963901	0.9251083396205553	2.5192645026727765	0.011760027796565264	0.9999990133467899	0.042561834347321345	7	LPL,APOE,APOA5	APOA4,APOB,LPL,GPIHBP1,APOE,APOC3,APOA5,APOA2,APOA1
Transcriptional regulation by RUNX2	R-HSA-8878166	0.8736944650179781	2.5145144487200106	0.011919641828679772	0.9999991831183984	0.043006362030020534	10	BMP2,CDKN1A,SOX9,TWIST1	HDAC6,PPM1D,SOX9,CBFB,TWIST1,BAX,RUNX2,CDK4,CDKN1A,CCND1,BMP2,TWIST2,CDK1,CCNB1
Formation of axial mesoderm	R-HSA-9796292	0.9070347840257004	2.512576725644839	0.01198530397894948	0.9999992441775054	0.043014421321358125	8	LEF1,FOXA2,SMAD3,CTNNB1	SMAD2,SMAD3,NOTO,TBXT,FOXH1,TEAD4,LEF1,SHH,TCF7,TEAD2,CTNNB1,YAP1,FOXA2
Formation of the nephric duct	R-HSA-9830364	0.8372691875240844	2.5122776405120204	0.011995467365921941	0.999999253211982	0.043014421321358125	12	OSR1,MECOM,CTNNB1,PAX8,ID4,GATA3	RET,WFDC2,HOXB4,LHX1,ID4,PAX8,BMP4,MECOM,PLAC8,EMX2,GATA3,NPNT,PCDH19,OSR1,HOXA6,CTNNB1,PAX2
RUNX3 regulates WNT signaling	R-HSA-8951430	0.9220237617632355	2.5083931018604404	0.012128165867224983	0.9999993617290429	0.04335726574552295	7	LEF1,CCND1,CTNNB1,MYC,RUNX3	MYC,RUNX3,TCF7,CCND1,TCF7L1,CTNNB1,LEF1
Repression of WNT target genes	R-HSA-4641265	0.8675340942310633	2.491134287373729	0.012733598199326401	0.999999688280493	0.045382854557965126	10	LEF1,MYC,TCF7,TCF7L2	TLE1,TCF7L1,CTBP2,LEF1,TCF7L2,TLE5,MYC,TLE2,CTBP1,TCF7,HDAC1,TLE3,AXIN2
