approvedSymbol	geneId	ID	Term	uniqueDiseases
COL4A1	ENSG00000187498	R-HSA-162582;R-HSA-1266738;R-HSA-1643685;R-HSA-9006934	Signal Transduction;Developmental Biology;Disease;Signaling by Receptor Tyrosine Kinases	20
COL4A2	ENSG00000134871	R-HSA-162582;R-HSA-1266738;R-HSA-1643685;R-HSA-9006934	Signal Transduction;Developmental Biology;Disease;Signaling by Receptor Tyrosine Kinases	32
COL4A3	ENSG00000169031	R-HSA-162582;R-HSA-1266738;R-HSA-1643685;R-HSA-9006934	Signal Transduction;Developmental Biology;Disease;Signaling by Receptor Tyrosine Kinases	15
COL4A4	ENSG00000081052	R-HSA-162582;R-HSA-1266738;R-HSA-1643685;R-HSA-9006934	Signal Transduction;Developmental Biology;Disease;Signaling by Receptor Tyrosine Kinases	7
COL5A1	ENSG00000130635	R-HSA-162582;R-HSA-1266738;R-HSA-1643685;R-HSA-9006934	Signal Transduction;Developmental Biology;Disease;Signaling by Receptor Tyrosine Kinases	4
COL5A2	ENSG00000204262	R-HSA-162582;R-HSA-1266738;R-HSA-1643685;R-HSA-9006934	Signal Transduction;Developmental Biology;Disease;Signaling by Receptor Tyrosine Kinases	3
COL5A3	ENSG00000080573	R-HSA-162582;R-HSA-1266738;R-HSA-1643685;R-HSA-9006934	Signal Transduction;Developmental Biology;Disease;Signaling by Receptor Tyrosine Kinases	1
COL6A1	ENSG00000142156	R-HSA-162582;R-HSA-1266738;R-HSA-9006934	Signal Transduction;Developmental Biology;Signaling by Receptor Tyrosine Kinases	4
COL6A2	ENSG00000142173	R-HSA-162582;R-HSA-1266738;R-HSA-9006934	Signal Transduction;Developmental Biology;Signaling by Receptor Tyrosine Kinases	6
COL6A3	ENSG00000163359	R-HSA-162582;R-HSA-1266738;R-HSA-9006934	Signal Transduction;Developmental Biology;Signaling by Receptor Tyrosine Kinases	2
COL7A1	ENSG00000114270	R-HSA-597592	Post-translational protein modification	2
COL9A1	ENSG00000112280	R-HSA-162582;R-HSA-1266738;R-HSA-9006934	Signal Transduction;Developmental Biology;Signaling by Receptor Tyrosine Kinases	3
COL9A3	ENSG00000092758	R-HSA-162582;R-HSA-1266738;R-HSA-9006934	Signal Transduction;Developmental Biology;Signaling by Receptor Tyrosine Kinases	1
COLEC10	ENSG00000184374	R-HSA-168256	Immune System	5
COMMD1	ENSG00000173163	R-HSA-597592	Post-translational protein modification	2
COMMD3	ENSG00000148444	R-HSA-168256;R-HSA-597592	Immune System;Post-translational protein modification	2
COMMD4	ENSG00000140365	R-HSA-597592	Post-translational protein modification	1
COMMD7	ENSG00000149600	R-HSA-597592	Post-translational protein modification	5
COMMD8	ENSG00000169019	R-HSA-597592	Post-translational protein modification	1
COPB1	ENSG00000129083	R-HSA-168256;R-HSA-8856688;R-HSA-6811434;R-HSA-597592	Immune System;Golgi-to-ER retrograde transport;COPI-dependent Golgi-to-ER retrograde traffic;Post-translational protein modification	2
COPG2	ENSG00000158623	R-HSA-8856688;R-HSA-6811434;R-HSA-597592	Golgi-to-ER retrograde transport;COPI-dependent Golgi-to-ER retrograde traffic;Post-translational protein modification	3
COPS4	ENSG00000138663	R-HSA-162582;R-HSA-6781823;R-HSA-9013422;R-HSA-6781827;R-HSA-9706574;R-HSA-597592	Signal Transduction;Formation of TC-NER Pre-Incision Complex;RHOBTB1 GTPase cycle;Transcription-Coupled Nucleotide Excision Repair (TC-NER);RHOBTB GTPase Cycle;Post-translational protein modification	4
COPZ1	ENSG00000111481	R-HSA-8856688;R-HSA-6811434;R-HSA-597592	Golgi-to-ER retrograde transport;COPI-dependent Golgi-to-ER retrograde traffic;Post-translational protein modification	1
COPZ2	ENSG00000005243	R-HSA-8856688;R-HSA-6811434;R-HSA-597592	Golgi-to-ER retrograde transport;COPI-dependent Golgi-to-ER retrograde traffic;Post-translational protein modification	3
COQ10B	ENSG00000115520	R-HSA-9864848	Complex IV assembly	2
CORO1A	ENSG00000102879	R-HSA-1643685;R-HSA-9637690;R-HSA-9637687;R-HSA-9635486	Disease;Response of Mtb to phagocytosis;Suppression of phagosomal maturation;Infection with Mycobacterium tuberculosis	1
COX10	ENSG00000006695	R-HSA-189451	Heme biosynthesis	1
COX11	ENSG00000166260	R-HSA-9864848	Complex IV assembly	5
COX14	ENSG00000178449	R-HSA-9864848	Complex IV assembly	1
COX15	ENSG00000014919	R-HSA-189451;R-HSA-9864848	Heme biosynthesis;Complex IV assembly	1
COX16	ENSG00000133983	R-HSA-9864848	Complex IV assembly	2
COX18	ENSG00000163626	R-HSA-9864848	Complex IV assembly	2
COX5B	ENSG00000135940	R-HSA-212436;R-HSA-73857;R-HSA-74160;R-HSA-9864848	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription);Complex IV assembly	1
COX6A2	ENSG00000156885	R-HSA-212436;R-HSA-73857;R-HSA-74160;R-HSA-9864848	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription);Complex IV assembly	1
COX6C	ENSG00000164919	R-HSA-212436;R-HSA-73857;R-HSA-74160;R-HSA-9864848	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription);Complex IV assembly	1
COX7A2L	ENSG00000115944	R-HSA-212436;R-HSA-73857;R-HSA-74160;R-HSA-9864848	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription);Complex IV assembly	1
COX7C	ENSG00000127184	R-HSA-212436;R-HSA-73857;R-HSA-74160;R-HSA-9864848	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription);Complex IV assembly	2
CPD	ENSG00000108582	R-HSA-162582	Signal Transduction	2
CPEB1	ENSG00000214575	R-HSA-1266738	Developmental Biology	1
CPLX1	ENSG00000168993	R-HSA-888590;R-HSA-264642;R-HSA-210500;R-HSA-212676;R-HSA-112310	GABA synthesis, release, reuptake and degradation;Acetylcholine Neurotransmitter Release Cycle;Glutamate Neurotransmitter Release Cycle;Dopamine Neurotransmitter Release Cycle;Neurotransmitter release cycle	1
CPN1	ENSG00000120054	R-HSA-168256	Immune System	1
CPNE1	ENSG00000214078	R-HSA-168256	Immune System	5
CPNE3	ENSG00000085719	R-HSA-168256	Immune System	3
CPNE8	ENSG00000139117	R-HSA-162582	Signal Transduction	4
CPSF2	ENSG00000165934	R-HSA-73857;R-HSA-74160;R-HSA-159231;R-HSA-159234;R-HSA-72202	RNA Polymerase II Transcription;Gene expression (Transcription);Transport of Mature mRNA Derived from an Intronless Transcript;Transport of Mature mRNAs Derived from Intronless Transcripts;Transport of Mature Transcript to Cytoplasm	1
CPSF6	ENSG00000111605	R-HSA-73857;R-HSA-74160;R-HSA-1643685;R-HSA-5663202	RNA Polymerase II Transcription;Gene expression (Transcription);Disease;Diseases of signal transduction by growth factor receptors and second messengers	2
CPT1A	ENSG00000110090	R-HSA-200425	Carnitine shuttle	1
CR1	ENSG00000203710	R-HSA-212436;R-HSA-168256;R-HSA-73857;R-HSA-74160;R-HSA-8877330	Generic Transcription Pathway;Immune System;RNA Polymerase II Transcription;Gene expression (Transcription);RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)	5
CRADD	ENSG00000169372	R-HSA-212436;R-HSA-73857;R-HSA-74160	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription)	9
CRB3	ENSG00000130545	R-HSA-420029;R-HSA-1643685	Tight junction interactions;Disease	2
CRBN	ENSG00000113851	R-HSA-1643685	Disease	1
CREB1	ENSG00000118260	R-HSA-162582;R-HSA-442720;R-HSA-1280215;R-HSA-212436;R-HSA-168256;R-HSA-73857;R-HSA-1266738;R-HSA-74160;R-HSA-199920;R-HSA-1643685;R-HSA-449147;R-HSA-881907;R-HSA-9006934;R-HSA-5663202	Signal Transduction;CREB1 phosphorylation through the activation of Adenylate Cyclase;Cytokine Signaling in Immune system;Generic Transcription Pathway;Immune System;RNA Polymerase II Transcription;Developmental Biology;Gene expression (Transcription);CREB phosphorylation;Disease;Signaling by Interleukins;Gastrin-CREB signalling pathway via PKC and MAPK;Signaling by Receptor Tyrosine Kinases;Diseases of signal transduction by growth factor receptors and second messengers	1
CREBBP	ENSG00000005339	R-HSA-162582;R-HSA-212436;R-HSA-168256;R-HSA-73857;R-HSA-1266738;R-HSA-74160;R-HSA-1643685;R-HSA-8957322;R-HSA-1655829;R-HSA-5663202;R-HSA-201722;R-HSA-597592;R-HSA-8864260;R-HSA-8878159	Signal Transduction;Generic Transcription Pathway;Immune System;RNA Polymerase II Transcription;Developmental Biology;Gene expression (Transcription);Disease;Metabolism of steroids;Regulation of cholesterol biosynthesis by SREBP (SREBF);Diseases of signal transduction by growth factor receptors and second messengers;Formation of the beta-catenin:TCF transactivating complex;Post-translational protein modification;Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors;Transcriptional regulation by RUNX3	3
CRHR1	ENSG00000120088	R-HSA-162582	Signal Transduction	25
CRHR2	ENSG00000106113	R-HSA-162582	Signal Transduction	2
CRISPLD2	ENSG00000103196	R-HSA-168256	Immune System	10
CRK	ENSG00000167193	R-HSA-162582;R-HSA-1280215;R-HSA-168256;R-HSA-1643685;R-HSA-449147;R-HSA-912631;R-HSA-9006934	Signal Transduction;Cytokine Signaling in Immune system;Immune System;Disease;Signaling by Interleukins;Regulation of signaling by CBL;Signaling by Receptor Tyrosine Kinases	3
CRLF1	ENSG00000006016	R-HSA-1280215;R-HSA-168256;R-HSA-449147	Cytokine Signaling in Immune system;Immune System;Signaling by Interleukins	3
CRLF2	ENSG00000205755	R-HSA-1280215;R-HSA-168256;R-HSA-449147	Cytokine Signaling in Immune system;Immune System;Signaling by Interleukins	6
CROT	ENSG00000005469	R-HSA-9033241	Peroxisomal protein import	1
CRP	ENSG00000132693	R-HSA-168256	Immune System	9
CRPPA	ENSG00000214960	R-HSA-9939291;R-HSA-8931838;R-HSA-597592	Matriglycan biosynthesis on DAG1;DAG1 glycosylations;Post-translational protein modification	1
CRY2	ENSG00000121671	R-HSA-9931530	Phosphorylation and nuclear translocation of the CRY:PER:kinase complex	2
CSF1	ENSG00000184371	R-HSA-1280215;R-HSA-168256;R-HSA-1266738;R-HSA-449147;R-HSA-597592	Cytokine Signaling in Immune system;Immune System;Developmental Biology;Signaling by Interleukins;Post-translational protein modification	3
CSF2RA	ENSG00000198223	R-HSA-162582;R-HSA-1280215;R-HSA-168256;R-HSA-1643685;R-HSA-5683826;R-HSA-449147	Signal Transduction;Cytokine Signaling in Immune system;Immune System;Disease;Surfactant metabolism;Signaling by Interleukins	6
CSF2RB	ENSG00000100368	R-HSA-162582;R-HSA-1280215;R-HSA-168256;R-HSA-1643685;R-HSA-5683826;R-HSA-449147	Signal Transduction;Cytokine Signaling in Immune system;Immune System;Disease;Surfactant metabolism;Signaling by Interleukins	8
CSF3	ENSG00000108342	R-HSA-1280215;R-HSA-168256;R-HSA-449147	Cytokine Signaling in Immune system;Immune System;Signaling by Interleukins	4
CSF3R	ENSG00000119535	R-HSA-1280215;R-HSA-168256;R-HSA-1266738;R-HSA-449147	Cytokine Signaling in Immune system;Immune System;Developmental Biology;Signaling by Interleukins	11
CSK	ENSG00000103653	R-HSA-162582;R-HSA-1280215;R-HSA-168256;R-HSA-1643685;R-HSA-202427;R-HSA-9006934;R-HSA-5663202	Signal Transduction;Cytokine Signaling in Immune system;Immune System;Disease;Phosphorylation of CD3 and TCR zeta chains;Signaling by Receptor Tyrosine Kinases;Diseases of signal transduction by growth factor receptors and second messengers	3
CSNK1A1	ENSG00000113712	R-HSA-162582;R-HSA-5467337;R-HSA-5467348;R-HSA-5467340;R-HSA-4839748;R-HSA-4839744;R-HSA-4839735;R-HSA-1643685;R-HSA-5663202	Signal Transduction;APC truncation mutants have impaired AXIN binding;Truncations of AMER1 destabilize the destruction complex;AXIN missense mutants destabilize the destruction complex;Signaling by AMER1 mutants;Signaling by APC mutants;Signaling by AXIN mutants;Disease;Diseases of signal transduction by growth factor receptors and second messengers	2
CSNK2A1	ENSG00000101266	R-HSA-162582;R-HSA-212436;R-HSA-73857;R-HSA-1266738;R-HSA-9931530;R-HSA-74160;R-HSA-6814122;R-HSA-1643685;R-HSA-8934903	Signal Transduction;Generic Transcription Pathway;RNA Polymerase II Transcription;Developmental Biology;Phosphorylation and nuclear translocation of the CRY:PER:kinase complex;Gene expression (Transcription);Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding;Disease;Receptor Mediated Mitophagy	4
CSNK2A2	ENSG00000070770	R-HSA-162582;R-HSA-212436;R-HSA-73857;R-HSA-1266738;R-HSA-9931530;R-HSA-74160;R-HSA-6814122;R-HSA-1643685;R-HSA-8934903	Signal Transduction;Generic Transcription Pathway;RNA Polymerase II Transcription;Developmental Biology;Phosphorylation and nuclear translocation of the CRY:PER:kinase complex;Gene expression (Transcription);Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding;Disease;Receptor Mediated Mitophagy	1
CSTA	ENSG00000121552	R-HSA-1266738	Developmental Biology	4
CSTF2T	ENSG00000177613	R-HSA-73857;R-HSA-74160	RNA Polymerase II Transcription;Gene expression (Transcription)	1
CTBP1	ENSG00000159692	R-HSA-162582;R-HSA-1643685;R-HSA-5663202;R-HSA-597592	Signal Transduction;Disease;Diseases of signal transduction by growth factor receptors and second messengers;Post-translational protein modification	4
CTBP2	ENSG00000175029	R-HSA-162582;R-HSA-1643685;R-HSA-5663202	Signal Transduction;Disease;Diseases of signal transduction by growth factor receptors and second messengers	8
CTCF	ENSG00000102974	R-HSA-1266738	Developmental Biology	2
CTDP1	ENSG00000060069	R-HSA-113418;R-HSA-167158;R-HSA-212436;R-HSA-167152;R-HSA-167246;R-HSA-167169;R-HSA-167200;R-HSA-73857;R-HSA-74160;R-HSA-1643685;R-HSA-167290;R-HSA-167243;R-HSA-167287;R-HSA-167238;R-HSA-674695;R-HSA-112382;R-HSA-75955;R-HSA-167172;R-HSA-162587;R-HSA-162599	Formation of the Early Elongation Complex;Formation of the HIV-1 Early Elongation Complex;Generic Transcription Pathway;Formation of HIV elongation complex in the absence of HIV Tat;Tat-mediated elongation of the HIV-1 transcript;HIV Transcription Elongation;Formation of HIV-1 elongation complex containing HIV-1 Tat;RNA Polymerase II Transcription;Gene expression (Transcription);Disease;Pausing and recovery of HIV elongation;Tat-mediated HIV elongation arrest and recovery;HIV elongation arrest and recovery;Pausing and recovery of Tat-mediated HIV elongation;RNA Polymerase II Pre-transcription Events;Formation of RNA Pol II elongation complex;RNA Polymerase II Transcription Elongation;Transcription of the HIV genome;HIV Life Cycle;Late Phase of HIV Life Cycle	4
CTF1	ENSG00000150281	R-HSA-1280215;R-HSA-168256;R-HSA-449147	Cytokine Signaling in Immune system;Immune System;Signaling by Interleukins	5
CTLA4	ENSG00000163599	R-HSA-212436;R-HSA-168256;R-HSA-73857;R-HSA-74160;R-HSA-8877330	Generic Transcription Pathway;Immune System;RNA Polymerase II Transcription;Gene expression (Transcription);RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)	26
CTNNB1	ENSG00000168036	R-HSA-162582;R-HSA-212436;R-HSA-168256;R-HSA-73857;R-HSA-1266738;R-HSA-74160;R-HSA-1643685;R-HSA-9006934;R-HSA-5663202;R-HSA-9825892;R-HSA-201722;R-HSA-8878159;R-HSA-4411364;R-HSA-8951430;R-HSA-9823730	Signal Transduction;Generic Transcription Pathway;Immune System;RNA Polymerase II Transcription;Developmental Biology;Gene expression (Transcription);Disease;Signaling by Receptor Tyrosine Kinases;Diseases of signal transduction by growth factor receptors and second messengers;Regulation of MITF-M-dependent genes involved in cell cycle and proliferation;Formation of the beta-catenin:TCF transactivating complex;Transcriptional regulation by RUNX3;Binding of TCF/LEF:CTNNB1 to target gene promoters;RUNX3 regulates WNT signaling;Formation of definitive endoderm	17
CTNND1	ENSG00000198561	R-HSA-162582;R-HSA-1643685;R-HSA-9006934	Signal Transduction;Disease;Signaling by Receptor Tyrosine Kinases	10
CTSB	ENSG00000164733	R-HSA-168256	Immune System	7
CTSC	ENSG00000109861	R-HSA-168256;R-HSA-597592	Immune System;Post-translational protein modification	3
CTSF	ENSG00000174080	R-HSA-168256	Immune System	4
CTSH	ENSG00000103811	R-HSA-168256;R-HSA-5683826	Immune System;Surfactant metabolism	14
CTSK	ENSG00000143387	R-HSA-212436;R-HSA-168256;R-HSA-73857;R-HSA-74160	Generic Transcription Pathway;Immune System;RNA Polymerase II Transcription;Gene expression (Transcription)	1
CTSO	ENSG00000256043	R-HSA-168256	Immune System	1
CTSS	ENSG00000163131	R-HSA-168256	Immune System	16
CUBN	ENSG00000107611	R-HSA-1643685;R-HSA-8957322	Disease;Metabolism of steroids	8
CUL1	ENSG00000055130	R-HSA-162582;R-HSA-1280215;R-HSA-212436;R-HSA-168256;R-HSA-73857;R-HSA-74160;R-HSA-1643685;R-HSA-449147;R-HSA-917937;R-HSA-5607761;R-HSA-5676590;R-HSA-5663202;R-HSA-597592	Signal Transduction;Cytokine Signaling in Immune system;Generic Transcription Pathway;Immune System;RNA Polymerase II Transcription;Gene expression (Transcription);Disease;Signaling by Interleukins;Iron uptake and transport;Dectin-1 mediated noncanonical NF-kB signaling;NIK-->noncanonical NF-kB signaling;Diseases of signal transduction by growth factor receptors and second messengers;Post-translational protein modification	3
CUL2	ENSG00000108094	R-HSA-168256;R-HSA-1266738;R-HSA-9010553;R-HSA-1234176;R-HSA-597592	Immune System;Developmental Biology;Regulation of expression of SLITs and ROBOs;Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha;Post-translational protein modification	3
CUL3	ENSG00000036257	R-HSA-162582;R-HSA-168256;R-HSA-1643685;R-HSA-9013422;R-HSA-9706574;R-HSA-4641258;R-HSA-597592	Signal Transduction;Immune System;Disease;RHOBTB1 GTPase cycle;RHOBTB GTPase Cycle;Degradation of DVL;Post-translational protein modification	1
CUL4A	ENSG00000139842	R-HSA-6781823;R-HSA-6782210;R-HSA-5696395;R-HSA-6782135;R-HSA-6781827;R-HSA-597592	Formation of TC-NER Pre-Incision Complex;Gap-filling DNA repair synthesis and ligation in TC-NER;Formation of Incision Complex in GG-NER;Dual incision in TC-NER;Transcription-Coupled Nucleotide Excision Repair (TC-NER);Post-translational protein modification	1
CUL9	ENSG00000112659	R-HSA-597592	Post-translational protein modification	1
CUX1	ENSG00000257923	R-HSA-1643685;R-HSA-5663202	Disease;Diseases of signal transduction by growth factor receptors and second messengers	13
CX3CR1	ENSG00000168329	R-HSA-162582;R-HSA-1643685	Signal Transduction;Disease	2
CXADR	ENSG00000154639	R-HSA-168256	Immune System	13
CXCL12	ENSG00000107562	R-HSA-162582;R-HSA-1266738;R-HSA-9006934	Signal Transduction;Developmental Biology;Signaling by Receptor Tyrosine Kinases	9
CXCL13	ENSG00000156234	R-HSA-162582	Signal Transduction	3
CXCR2	ENSG00000180871	R-HSA-162582;R-HSA-168256	Signal Transduction;Immune System	2
CXCR4	ENSG00000121966	R-HSA-162582;R-HSA-1266738;R-HSA-1643685;R-HSA-162587;R-HSA-9823730	Signal Transduction;Developmental Biology;Disease;HIV Life Cycle;Formation of definitive endoderm	12
CXCR5	ENSG00000160683	R-HSA-162582	Signal Transduction	6
CXCR6	ENSG00000172215	R-HSA-162582	Signal Transduction	1
CXXC5	ENSG00000171604	R-HSA-162582	Signal Transduction	1
CYB5A	ENSG00000166347	R-HSA-9609523	Insertion of tail-anchored proteins into the endoplasmic reticulum membrane	2
CYB5B	ENSG00000103018	R-HSA-1660661	Sphingolipid de novo biosynthesis	1
CYB5R3	ENSG00000100243	R-HSA-168256	Immune System	1
CYBA	ENSG00000051523	R-HSA-162582;R-HSA-168256;R-HSA-1643685;R-HSA-9006934	Signal Transduction;Immune System;Disease;Signaling by Receptor Tyrosine Kinases	1
CYBRD1	ENSG00000071967	R-HSA-917937	Iron uptake and transport	1
CYFIP1	ENSG00000273749	R-HSA-162582;R-HSA-168256;R-HSA-1643685;R-HSA-9006934	Signal Transduction;Immune System;Disease;Signaling by Receptor Tyrosine Kinases	3
CYFIP2	ENSG00000055163	R-HSA-162582;R-HSA-168256;R-HSA-1643685;R-HSA-9006934	Signal Transduction;Immune System;Disease;Signaling by Receptor Tyrosine Kinases	2
CYLD	ENSG00000083799	R-HSA-162582;R-HSA-168256;R-HSA-597592	Signal Transduction;Immune System;Post-translational protein modification	7
CYP11B1	ENSG00000160882	R-HSA-1643685;R-HSA-8957322	Disease;Metabolism of steroids	2
CYP11B2	ENSG00000179142	R-HSA-1643685;R-HSA-8957322	Disease;Metabolism of steroids	2
CYP17A1	ENSG00000148795	R-HSA-1643685;R-HSA-8957322	Disease;Metabolism of steroids	4
CYP19A1	ENSG00000137869	R-HSA-1643685;R-HSA-8957322	Disease;Metabolism of steroids	18
CYP1A1	ENSG00000140465	R-HSA-2142753	Arachidonate metabolism	2
CYP1A2	ENSG00000140505	R-HSA-5423646;R-HSA-156580;R-HSA-2142753	Aflatoxin activation and detoxification;Phase II - Conjugation of compounds;Arachidonate metabolism	7
CYP1B1	ENSG00000138061	R-HSA-1643685;R-HSA-2142753	Disease;Arachidonate metabolism	11
CYP24A1	ENSG00000019186	R-HSA-1643685;R-HSA-196791;R-HSA-8957322	Disease;Vitamin D (calciferol) metabolism;Metabolism of steroids	9
CYP26A1	ENSG00000095596	R-HSA-162582	Signal Transduction	8
CYP26B1	ENSG00000003137	R-HSA-162582;R-HSA-1643685	Signal Transduction;Disease	6
CYP2C19	ENSG00000165841	R-HSA-9749641;R-HSA-2142753	Aspirin ADME;Arachidonate metabolism	1
CYP2D6	ENSG00000100197	R-HSA-9749641	Aspirin ADME	9
CYP2R1	ENSG00000186104	R-HSA-1643685;R-HSA-196791;R-HSA-8957322	Disease;Vitamin D (calciferol) metabolism;Metabolism of steroids	3
CYP39A1	ENSG00000146233	R-HSA-193775;R-HSA-192105;R-HSA-8957322;R-HSA-194068	Synthesis of bile acids and bile salts via 24-hydroxycholesterol;Synthesis of bile acids and bile salts;Metabolism of steroids;Bile acid and bile salt metabolism	1
CYP3A5	ENSG00000106258	R-HSA-5423646	Aflatoxin activation and detoxification	1
CYP46A1	ENSG00000036530	R-HSA-193775;R-HSA-192105;R-HSA-8957322;R-HSA-194068	Synthesis of bile acids and bile salts via 24-hydroxycholesterol;Synthesis of bile acids and bile salts;Metabolism of steroids;Bile acid and bile salt metabolism	7
CYP4B1	ENSG00000142973	R-HSA-211979;R-HSA-2142691;R-HSA-2142753	Eicosanoids;Synthesis of Leukotrienes (LT) and Eoxins (EX);Arachidonate metabolism	1
CYP4F2	ENSG00000186115	R-HSA-211979;R-HSA-2142691;R-HSA-2142753	Eicosanoids;Synthesis of Leukotrienes (LT) and Eoxins (EX);Arachidonate metabolism	3
CYP4F8	ENSG00000186526	R-HSA-211979;R-HSA-2142691;R-HSA-2142753	Eicosanoids;Synthesis of Leukotrienes (LT) and Eoxins (EX);Arachidonate metabolism	1
CYP4V2	ENSG00000145476	R-HSA-2453902	The canonical retinoid cycle in rods (twilight vision)	4
CYP7A1	ENSG00000167910	R-HSA-192105;R-HSA-8957322;R-HSA-194068	Synthesis of bile acids and bile salts;Metabolism of steroids;Bile acid and bile salt metabolism	7
CYP7B1	ENSG00000172817	R-HSA-1643685;R-HSA-192105;R-HSA-8957322;R-HSA-194068	Disease;Synthesis of bile acids and bile salts;Metabolism of steroids;Bile acid and bile salt metabolism	5
CYP8B1	ENSG00000180432	R-HSA-211979;R-HSA-193775;R-HSA-192105;R-HSA-8957322;R-HSA-2142753;R-HSA-194068	Eicosanoids;Synthesis of bile acids and bile salts via 24-hydroxycholesterol;Synthesis of bile acids and bile salts;Metabolism of steroids;Arachidonate metabolism;Bile acid and bile salt metabolism	2
CYSTM1	ENSG00000120306	R-HSA-168256	Immune System	4
DAAM1	ENSG00000100592	R-HSA-162582	Signal Transduction	1
DAB1	ENSG00000173406	R-HSA-1266738	Developmental Biology	5
DAB2	ENSG00000153071	R-HSA-157858;R-HSA-190828	Gap junction trafficking and regulation;Gap junction trafficking	6
DAB2IP	ENSG00000136848	R-HSA-162582	Signal Transduction	8
DACT1	ENSG00000165617	R-HSA-162582;R-HSA-4641258	Signal Transduction;Degradation of DVL	2
DAD1	ENSG00000129562	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	1
DAG1	ENSG00000173402	R-HSA-9939291;R-HSA-8931838;R-HSA-1266738;R-HSA-1643685;R-HSA-9010553;R-HSA-597592	Matriglycan biosynthesis on DAG1;DAG1 glycosylations;Developmental Biology;Disease;Regulation of expression of SLITs and ROBOs;Post-translational protein modification	5
DAGLA	ENSG00000134780	R-HSA-162582	Signal Transduction	2
DAGLB	ENSG00000164535	R-HSA-162582	Signal Transduction	5
DAND5	ENSG00000179284	R-HSA-1266738;R-HSA-1433617	Developmental Biology;Regulation of signaling by NODAL	1
DAP3	ENSG00000132676	R-HSA-72766;R-HSA-5419276;R-HSA-5368286;R-HSA-5389840;R-HSA-5368287;R-HSA-9937383	Translation;Mitochondrial translation termination;Mitochondrial translation initiation;Mitochondrial translation elongation;Mitochondrial translation;Mitochondrial ribosome-associated quality control	2
DARS1	ENSG00000115866	R-HSA-379724;R-HSA-1266738;R-HSA-379716;R-HSA-72766	tRNA Aminoacylation;Developmental Biology;Cytosolic tRNA aminoacylation;Translation	2
DBH	ENSG00000123454	R-HSA-209776	Metabolism of amine-derived hormones	4
DBN1	ENSG00000113758	R-HSA-162582;R-HSA-9013422;R-HSA-9706574	Signal Transduction;RHOBTB1 GTPase cycle;RHOBTB GTPase Cycle	4
DCAF16	ENSG00000163257	R-HSA-597592	Post-translational protein modification	1
DCAF17	ENSG00000115827	R-HSA-597592	Post-translational protein modification	1
DCAF4	ENSG00000119599	R-HSA-597592	Post-translational protein modification	1
DCAF5	ENSG00000139990	R-HSA-597592	Post-translational protein modification	6
DCAF6	ENSG00000143164	R-HSA-597592	Post-translational protein modification	2
DCAF7	ENSG00000136485	R-HSA-597592	Post-translational protein modification	2
DCC	ENSG00000187323	R-HSA-1266738	Developmental Biology	50
DCT	ENSG00000080166	R-HSA-1266738	Developmental Biology	2
DCTD	ENSG00000129187	R-HSA-499943;R-HSA-15869	Interconversion of nucleotide di- and triphosphates;Metabolism of nucleotides	12
DCTN2	ENSG00000175203	R-HSA-168256;R-HSA-8856688;R-HSA-597592	Immune System;Golgi-to-ER retrograde transport;Post-translational protein modification	1
DCUN1D4	ENSG00000109184	R-HSA-597592	Post-translational protein modification	1
DCUN1D5	ENSG00000137692	R-HSA-597592	Post-translational protein modification	1
DDB2	ENSG00000134574	R-HSA-212436;R-HSA-73857;R-HSA-74160;R-HSA-5696395;R-HSA-597592	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription);Formation of Incision Complex in GG-NER;Post-translational protein modification	3
DDC	ENSG00000132437	R-HSA-209776	Metabolism of amine-derived hormones	4
DDHD1	ENSG00000100523	R-HSA-1483166	Synthesis of PA	3
DDHD2	ENSG00000085788	R-HSA-1483166	Synthesis of PA	8
DDX1	ENSG00000079785	R-HSA-6784531	tRNA processing in the nucleus	1
DDX17	ENSG00000100201	R-HSA-597592	Post-translational protein modification	2
DDX20	ENSG00000064703	R-HSA-1643685;R-HSA-191859;R-HSA-194441	Disease;snRNP Assembly;Metabolism of non-coding RNA	3
DDX21	ENSG00000165732	R-HSA-74160;R-HSA-72312	Gene expression (Transcription);rRNA processing	1
DDX5	ENSG00000108654	R-HSA-162582;R-HSA-1643685;R-HSA-597592	Signal Transduction;Disease;Post-translational protein modification	1
DDX52	ENSG00000278053	R-HSA-72312	rRNA processing	2
DEF6	ENSG00000023892	R-HSA-162582	Signal Transduction	2
